,time,name,今日涨停,今日跌停,昨日涨停,昨日跌停,昨日涨停表现
104,2024-06-12 15:15:00,全A,91,22,45,38,4.58
105,2024-06-13 15:15:00,全A,54,21,91,22,1.09
106,2024-06-14 15:15:00,全A,50,20,54,21,1.93
107,2024-06-17 15:15:00,全A,48,21,50,20,2.59
108,2024-06-18 15:15:00,全A,66,12,48,21,2.76
109,2024-06-19 15:15:00,全A,61,14,66,12,2.82
110,2024-06-20 15:15:00,全A,29,54,61,14,-0.53
111,2024-06-21 15:15:00,全A,47,39,29,54,1.85
112,2024-06-24 15:15:00,全A,31,83,47,39,0.99
113,2024-06-25 15:15:00,全A,69,61,31,83,2.48
114,2024-06-26 15:15:00,全A,65,25,69,61,2.62
115,2024-06-27 15:15:00,全A,43,23,65,25,1.94
116,2024-06-28 15:15:00,全A,48,27,43,23,0.23
117,2024-07-01 15:15:00,全A,62,18,48,27,1.33
118,2024-07-02 15:15:00,全A,67,6,62,18,2.93
119,2024-07-03 15:15:00,全A,64,6,67,6,2.74
120,2024-07-04 15:15:00,全A,25,31,64,6,-1.02
121,2024-07-05 15:15:00,全A,58,4,25,31,2.37
122,2024-07-08 15:15:00,全A,24,39,58,4,-0.63
123,2024-07-09 15:15:00,全A,56,25,24,39,3.49
124,2024-07-10 15:15:00,全A,51,47,56,25,2.3
125,2024-07-11 15:15:00,全A,106,8,51,47,3.37
126,2024-07-12 15:15:00,全A,51,11,106,8,1.83
127,2024-07-15 15:15:00,全A,48,16,51,11,0.46
128,2024-07-16 15:15:00,全A,55,10,48,16,2.61
