,name,timestamp,open,high,low,close
0,EUR_USD,2024-08-01,1.08244,1.08354,1.07912,1.07929
1,EUR_USD,2024-07-31,1.08307,1.08342,1.08248,1.08319
2,EUR_USD,2024-07-30,1.08161,1.08519,1.08087,1.08161
3,EUR_USD,2024-07-29,1.08195,1.08378,1.08,1.08195
4,EUR_USD,2024-07-28,1.08538,1.08719,1.08031,1.08538
5,EUR_USD,2024-07-25,1.08513,1.08685,1.08427,1.08513
6,EUR_USD,2024-07-24,1.08395,1.08644,1.08293,1.08395
7,EUR_USD,2024-07-23,1.08507,1.08665,1.08267,1.08507
8,EUR_USD,2024-07-22,1.08898,1.09004,1.08445,1.08898
9,EUR_USD,2024-07-21,1.08992,1.09016,1.08737,1.08992
10,EUR_USD,2024-07-18,1.09016,1.09016,1.08774,1.09016
11,EUR_USD,2024-07-17,1.09402,1.09421,1.09054,1.09402
12,EUR_USD,2024-07-16,1.09025,1.09472,1.08963,1.09025
13,EUR_USD,2024-07-15,1.09016,1.09063,1.08722,1.09016
14,EUR_USD,2024-07-14,1.08855,1.09219,1.08844,1.08855
15,EUR_USD,2024-07-11,1.08728,1.09112,1.08631,1.08728
16,EUR_USD,2024-07-10,1.08333,1.08984,1.08329,1.08333
17,EUR_USD,2024-07-09,1.08148,1.08287,1.08119,1.08148
18,EUR_USD,2024-07-08,1.08309,1.08342,1.08062,1.08309
19,EUR_USD,2024-07-07,1.0826,1.08472,1.08151,1.0826
20,EUR_USD,2024-07-03,1.07933,1.08167,1.07842,1.07933
21,EUR_USD,2024-07-02,1.07484,1.08156,1.07371,1.07484
22,EUR_USD,2024-07-01,1.07371,1.07461,1.07106,1.07371
23,EUR_USD,2024-06-30,1.07353,1.07782,1.07208,1.07353
24,EUR_USD,2024-06-27,1.07085,1.0721,1.0686,1.07085
25,EUR_USD,2024-06-26,1.06801,1.07262,1.06778,1.06801
26,EUR_USD,2024-06-25,1.07096,1.07204,1.06677,1.07096
27,EUR_USD,2024-06-24,1.07327,1.07458,1.06922,1.07327
28,EUR_USD,2024-06-23,1.06878,1.0747,1.06844,1.06878
29,EUR_USD,2024-06-20,1.07064,1.07227,1.06719,1.07064
30,EUR_USD,2024-06-19,1.07515,1.07504,1.07075,1.07515
31,EUR_USD,2024-06-18,1.07423,1.07533,1.07263,1.07423
32,EUR_USD,2024-06-17,1.07407,1.07612,1.07111,1.07407
33,EUR_USD,2024-06-16,1.07022,1.07262,1.06876,1.07022
34,EUR_USD,2024-06-13,1.07388,1.07458,1.06682,1.07388
35,EUR_USD,2024-06-12,1.08132,1.08178,1.07538,1.08132
36,EUR_USD,2024-06-11,1.07403,1.08518,1.0735,1.07403
37,EUR_USD,2024-06-10,1.07643,1.07735,1.07211,1.07643
38,EUR_USD,2024-06-09,1.07789,1.07828,1.07336,1.07789
