ymd,htsc_code,name,exchange
20240805,600095.SH,湘财股份,XSHG
20240805,600699.SH,均胜电子,XSHG
20240805,600418.SH,江淮汽车,XSHG
20240805,600741.SH,华域汽车,XSHG
20240805,600592.SH,龙溪股份,XSHG
20240805,600597.SH,光明乳业,XSHG
20240805,600039.SH,四川路桥,XSHG
20240805,600211.SH,西藏药业,XSHG
20240805,600312.SH,平高电气,XSHG
20240805,600676.SH,交运股份,XSHG
20240805,600739.SH,辽宁成大,XSHG
20240805,600463.SH,空港股份,XSHG
20240805,600638.SH,新黄浦,XSHG
20240805,600018.SH,上港集团,XSHG
20240805,600988.SH,赤峰黄金,XSHG
20240805,600191.SH,华资实业,XSHG
20240805,600310.SH,广西能源,XSHG
20240805,600573.SH,惠泉啤酒,XSHG
20240805,600252.SH,中恒集团,XSHG
20240805,600519.SH,贵州茅台,XSHG
20240805,600572.SH,康恩贝,XSHG
20240805,600648.SH,外高桥,XSHG
20240805,600333.SH,长春燃气,XSHG
20240805,600619.SH,海立股份,XSHG
20240805,600132.SH,重庆啤酒,XSHG
20240805,600635.SH,大众公用,XSHG
20240805,600099.SH,林海股份,XSHG
20240805,600429.SH,三元股份,XSHG
20240805,000955.SZ,欣龙控股,XSHE
20240805,600248.SH,陕建股份,XSHG
20240805,600315.SH,上海家化,XSHG
20240805,600000.SH,浦发银行,XSHG
20240805,600665.SH,天地源,XSHG
20240805,600439.SH,瑞贝卡,XSHG
20240805,600101.SH,明星电力,XSHG
20240805,600232.SH,金鹰股份,XSHG
20240805,600446.SH,金证股份,XSHG
20240805,600426.SH,华鲁恒升,XSHG
20240805,600079.SH,人福医药,XSHG
20240805,600433.SH,冠豪高新,XSHG
20240805,600081.SH,东风科技,XSHG
20240805,600343.SH,航天动力,XSHG
20240805,600705.SH,中航产融,XSHG
20240805,600235.SH,民丰特纸,XSHG
20240805,600338.SH,西藏珠峰,XSHG
20240805,600736.SH,苏州高新,XSHG
20240805,600166.SH,福田汽车,XSHG
20240805,600011.SH,华能国际,XSHG
20240805,600583.SH,海油工程,XSHG
