ymd,htsc_code,name,exchange
20240720,600854.SH,春兰股份,XSHG
20240720,000739.SZ,普洛药业,XSHE
20240720,600456.SH,宝钛股份,XSHG
20240720,600628.SH,新世界,XSHG
20240720,600288.SH,大恒科技,XSHG
20240720,600348.SH,华阳股份,XSHG
20240720,600138.SH,中青旅,XSHG
20240720,600237.SH,铜峰电子,XSHG
20240720,600405.SH,动力源,XSHG
20240720,600523.SH,贵航股份,XSHG
20240720,600577.SH,精达股份,XSHG
20240720,600694.SH,大商股份,XSHG
20240720,000090.SZ,天健集团,XSHE
20240720,600667.SH,太极实业,XSHG
20240720,600757.SH,长江传媒,XSHG
20240720,600561.SH,江西长运,XSHG
20240720,600362.SH,江西铜业,XSHG
20240720,600298.SH,安琪酵母,XSHG
20240720,600621.SH,华鑫股份,XSHG
20240720,600536.SH,中国软件,XSHG
20240720,600731.SH,湖南海利,XSHG
20240720,600135.SH,乐凯胶片,XSHG
20240720,600351.SH,亚宝药业,XSHG
20240720,002266.SZ,浙富控股,XSHE
20240720,600605.SH,汇通能源,XSHG
20240720,600219.SH,南山铝业,XSHG
20240720,600116.SH,三峡水利,XSHG
20240720,000665.SZ,湖北广电,XSHE
20240720,600490.SH,鹏欣资源,XSHG
20240720,600114.SH,东睦股份,XSHG
20240720,600590.SH,泰豪科技,XSHG
20240720,600029.SH,南方航空,XSHG
20240720,600080.SH,金花股份,XSHG
20240720,600162.SH,香江控股,XSHG
20240720,600389.SH,江山股份,XSHG
20240720,600326.SH,西藏天路,XSHG
20240720,600415.SH,小商品城,XSHG
20240720,000555.SZ,神州信息,XSHE
20240720,600171.SH,上海贝岭,XSHG
20240720,600356.SH,恒丰纸业,XSHG
20240720,600642.SH,申能股份,XSHG
20240720,600123.SH,兰花科创,XSHG
20240720,600488.SH,津药药业,XSHG
20240720,600199.SH,金种子酒,XSHG
20240720,002265.SZ,建设工业,XSHE
20240720,600183.SH,生益科技,XSHG
20240720,600885.SH,宏发股份,XSHG
20240720,600692.SH,亚通股份,XSHG
20240720,600126.SH,杭钢股份,XSHG
20240720,600167.SH,联美控股,XSHG
20240720,600269.SH,赣粤高速,XSHG
20240720,600467.SH,好当家,XSHG
20240720,600100.SH,同方股份,XSHG
20240720,600051.SH,宁波联合,XSHG
20240720,600630.SH,龙头股份,XSHG
20240720,600157.SH,永泰能源,XSHG
20240720,600549.SH,厦门钨业,XSHG
20240720,600170.SH,上海建工,XSHG
20240720,600222.SH,太龙药业,XSHG
20240720,600596.SH,新安股份,XSHG
20240720,600127.SH,金健米业,XSHG
20240720,600560.SH,金自天正,XSHG
20240720,600373.SH,中文传媒,XSHG
20240720,000498.SZ,山东路桥,XSHE
20240720,600452.SH,涪陵电力,XSHG
20240720,600246.SH,万通发展,XSHG
20240720,600257.SH,大湖股份,XSHG
20240720,600617.SH,国新能源,XSHG
20240720,600510.SH,黑牡丹,XSHG
20240720,600350.SH,山东高速,XSHG
20240720,600386.SH,北巴传媒,XSHG
20240720,600352.SH,浙江龙盛,XSHG
20240720,600509.SH,天富能源,XSHG
20240720,600129.SH,太极集团,XSHG
20240720,000788.SZ,北大医药,XSHE
20240720,600089.SH,特变电工,XSHG
20240720,600267.SH,海正药业,XSHG
20240720,600406.SH,国电南瑞,XSHG
20240720,600281.SH,华阳新材,XSHG
20240720,600236.SH,桂冠电力,XSHG
20240720,600567.SH,山鹰国际,XSHG
20240720,000902.SZ,新洋丰,XSHE
20240720,600218.SH,全柴动力,XSHG
20240720,600302.SH,标准股份,XSHG
20240720,600006.SH,东风汽车,XSHG
20240720,600345.SH,长江通信,XSHG
20240720,600256.SH,广汇能源,XSHG
20240720,600663.SH,陆家嘴,XSHG
20240720,000605.SZ,渤海股份,XSHE
20240720,600716.SH,凤凰股份,XSHG
20240720,600706.SH,曲江文旅,XSHG
20240720,600527.SH,江南高纤,XSHG
20240720,600007.SH,中国国贸,XSHG
20240720,600505.SH,西昌电力,XSHG
20240720,600336.SH,澳柯玛,XSHG
20240720,600151.SH,航天机电,XSHG
20240720,600678.SH,四川金顶,XSHG
20240720,600563.SH,法拉电子,XSHG
20240720,600547.SH,山东黄金,XSHG
20240720,600359.SH,新农开发,XSHG
20240720,600392.SH,盛和资源,XSHG
20240720,600569.SH,安阳钢铁,XSHG
20240720,600048.SH,保利发展,XSHG
20240720,600056.SH,中国医药,XSHG
20240720,600479.SH,千金药业,XSHG
20240720,600031.SH,三一重工,XSHG
20240720,600827.SH,百联股份,XSHG
20240720,000751.SZ,锌业股份,XSHE
20240720,600476.SH,湘邮科技,XSHG
20240720,600771.SH,广誉远,XSHG
20240720,600585.SH,海螺水泥,XSHG
20240720,600096.SH,云天化,XSHG
20240720,600697.SH,欧亚集团,XSHG
20240720,600409.SH,三友化工,XSHG
20240720,600376.SH,首开股份,XSHG
20240720,600584.SH,长电科技,XSHG
20240720,600063.SH,皖维高新,XSHG
20240720,600500.SH,中化国际,XSHG
20240720,600192.SH,长城电工,XSHG
20240720,600377.SH,宁沪高速,XSHG
20240720,600058.SH,五矿发展,XSHG
20240720,600435.SH,北方导航,XSHG
20240720,600743.SH,华远地产,XSHG
20240720,600486.SH,扬农化工,XSHG
20240720,002045.SZ,国光电器,XSHE
20240720,600109.SH,国金证券,XSHG
20240720,600459.SH,贵研铂业,XSHG
20240720,600961.SH,株冶集团,XSHG
20240720,600604.SH,市北高新,XSHG
20240720,600335.SH,国机汽车,XSHG
20240720,600108.SH,亚盛集团,XSHG
20240720,600769.SH,祥龙电业,XSHG
20240720,600332.SH,白云山,XSHG
20240720,000672.SZ,上峰水泥,XSHE
20240720,002373.SZ,千方科技,XSHE
20240720,600066.SH,宇通客车,XSHG
20240720,600161.SH,天坛生物,XSHG
20240720,600600.SH,青岛啤酒,XSHG
20240720,600262.SH,北方股份,XSHG
20240720,600740.SH,山西焦化,XSHG
20240720,600008.SH,首创环保,XSHG
20240720,600713.SH,南京医药,XSHG
20240720,600196.SH,复星医药,XSHG
20240720,600728.SH,佳都科技,XSHG
20240720,600571.SH,信雅达,XSHG
20240720,600559.SH,老白干酒,XSHG
20240720,600516.SH,方大炭素,XSHG
20240720,600478.SH,科力远,XSHG
20240720,600438.SH,通威股份,XSHG
20240720,600499.SH,科达制造,XSHG
20240720,600686.SH,金龙汽车,XSHG
20240720,600714.SH,金瑞矿业,XSHG
20240720,600383.SH,金地集团,XSHG
20240720,600030.SH,中信证券,XSHG
20240720,600558.SH,大西洋,XSHG
20240720,600128.SH,苏豪弘业,XSHG
20240720,600529.SH,山东药玻,XSHG
20240720,600693.SH,东百集团,XSHG
20240720,600316.SH,洪都航空,XSHG
20240720,000657.SZ,中钨高新,XSHE
20240720,600276.SH,恒瑞医药,XSHG
20240720,600141.SH,兴发集团,XSHG
20240720,002204.SZ,大连重工,XSHE
20240720,002150.SZ,通润装备,XSHE
20240720,600586.SH,金晶科技,XSHG
20240720,600012.SH,皖通高速,XSHG
20240720,600668.SH,尖峰集团,XSHG
20240720,600712.SH,南宁百货,XSHG
20240720,000899.SZ,赣能股份,XSHE
20240720,600742.SH,一汽富维,XSHG
20240720,600616.SH,金枫酒业,XSHG
20240720,600717.SH,天津港,XSHG
20240720,600868.SH,梅雁吉祥,XSHG
20240720,600107.SH,美尔雅,XSHG
20240720,600283.SH,钱江水利,XSHG
20240720,600578.SH,京能电力,XSHG
20240720,600371.SH,万向德农,XSHG
20240720,600340.SH,华夏幸福,XSHG
20240720,600195.SH,中牧股份,XSHG
20240720,600064.SH,南京高科,XSHG
20240720,600353.SH,旭光电子,XSHG
20240720,600177.SH,雅戈尔,XSHG
20240720,000030.SZ,富奥股份,XSHE
20240720,600368.SH,五洲交通,XSHG
20240720,600395.SH,盘江股份,XSHG
20240720,600497.SH,驰宏锌锗,XSHG
20240720,600185.SH,格力地产,XSHG
20240720,600268.SH,国电南自,XSHG
20240720,600639.SH,浦东金桥,XSHG
20240720,600216.SH,浙江医药,XSHG
20240720,600620.SH,天宸股份,XSHG
20240720,600537.SH,亿晶光电,XSHG
20240720,600188.SH,兖矿能源,XSHG
20240720,600660.SH,福耀玻璃,XSHG
20240720,600180.SH,瑞茂通,XSHG
20240720,300076.SZ,GQY视讯,XSHE
20240720,600640.SH,国脉文化,XSHG
20240720,600313.SH,农发种业,XSHG
20240720,600125.SH,铁龙物流,XSHG
20240720,600197.SH,伊力特,XSHG
20240720,600325.SH,华发股份,XSHG
20240720,600507.SH,方大特钢,XSHG
20240720,600249.SH,两面针,XSHG
20240720,600618.SH,氯碱化工,XSHG
20240720,000592.SZ,平潭发展,XSHE
20240720,600050.SH,中国联通,XSHG
20240720,600295.SH,鄂尔多斯,XSHG
20240720,600729.SH,重庆百货,XSHG
20240720,600168.SH,武汉控股,XSHG
20240720,000430.SZ,张家界,XSHE
20240720,600259.SH,广晟有色,XSHG
20240720,600557.SH,康缘药业,XSHG
20240720,600279.SH,重庆港,XSHG
20240720,600097.SH,开创国际,XSHG
20240720,600033.SH,福建高速,XSHG
20240720,600419.SH,天润乳业,XSHG
20240720,600662.SH,外服控股,XSHG
20240720,600309.SH,万华化学,XSHG
20240720,002047.SZ,宝鹰股份,XSHE
20240720,600105.SH,永鼎股份,XSHG
20240720,600054.SH,黄山旅游,XSHG
